candidate,office,district,party,county,precinct,votes,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 6,68,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 6,41,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 6,14,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 6,91,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 6,6,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 6,2,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 6,6,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 6,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 6,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 6,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 6,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 6,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 6,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,174,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 8 ED 7,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 8 ED 7,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 8 ED 7,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 8 ED 7,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 8 ED 7,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,74,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,89,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,4,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,2,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,5,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,105,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,60,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,3,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,5,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,46,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,20,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,11,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,87,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,4,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,3,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 7,3,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 7,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 7,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 7,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 7,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 7,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 7,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,163,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 8 ED 8,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 8 ED 8,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 8 ED 8,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 8 ED 8,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 8 ED 8,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,82,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,69,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,6,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,2,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,4,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,87,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,65,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,4,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,6,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,56,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,28,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,7,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,65,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,3,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,1,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 8,3,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 8,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 8,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 8,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 8,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 8,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 8,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,53,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 8 ED 9,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 8 ED 9,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 8 ED 9,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 8 ED 9,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 8 ED 9,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,26,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,24,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,1,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,1,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,1,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,28,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,19,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,3,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,2,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,26,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,4,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,3,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,18,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,1,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,1,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 8 ED 9,0,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 9,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 9,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 9,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 9,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 9,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 8 ED 9,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,98,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 9 ED 1,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 9 ED 1,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 9 ED 1,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 9 ED 1,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 9 ED 1,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,56,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,38,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,3,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,1,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,0,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,53,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,42,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,2,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,0,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,20,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,16,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,10,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,49,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,2,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,1,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 1,0,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 1,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 1,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 1,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 1,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 1,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 1,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,67,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 9 ED 2,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 9 ED 2,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 9 ED 2,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 9 ED 2,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 9 ED 2,1,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,36,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,27,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,2,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,1,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,1,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,23,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,37,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,2,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,4,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,20,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,5,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,1,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,36,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,2,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,1,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 2,2,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 2,1,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 2,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 2,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 2,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 2,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 2,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,56,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 9 ED 3,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 9 ED 3,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 9 ED 3,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 9 ED 3,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 9 ED 3,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,24,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,30,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,1,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,0,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,1,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,32,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,20,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,2,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,0,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,2,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,18,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,9,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,2,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,25,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,1,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,2,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 3,0,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 3,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 3,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 3,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 3,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 3,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 3,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,94,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 9 ED 4,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 9 ED 4,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 9 ED 4,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 9 ED 4,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 9 ED 4,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,53,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,36,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,2,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,1,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,2,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,38,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,44,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,3,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,0,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,9,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,25,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,11,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,5,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,46,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,3,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,0,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 4,4,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 4,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 4,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 4,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 4,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 4,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 4,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,169,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 9 ED 5,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 9 ED 5,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 9 ED 5,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 9 ED 5,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 9 ED 5,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,88,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,65,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,7,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,2,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,7,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,81,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,75,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,6,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,6,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,44,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,16,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,9,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,89,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,7,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,2,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 5,2,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 5,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 5,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 5,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 5,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 5,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 5,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,151,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 9 ED 6,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 9 ED 6,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 9 ED 6,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 9 ED 6,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 9 ED 6,0,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,90,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,54,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,2,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,1,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,4,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,63,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,79,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,4,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,0,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,5,,
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,29,,
Letitia A. James,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,19,,
Leecia R. Eve,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,9,,
Zephyr Teachout,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,85,,
WRITE-IN,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,3,,
OVER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,2,,
UNDER VOTES,Attorney General,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 6,4,,
Nancy B Sliwa,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 6,0,,
Mike Diederich,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 6,0,,
Christopher B Garvey,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 6,0,,
WRITE-IN,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 6,0,,
OVER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 6,0,,
UNDER VOTES,Attorney General,,REFORM,Albany,ALBANY WARD 9 ED 6,0,,
,Ballots Cast,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,206,,
,Ballots Cast,,CONSERVATIVE,Albany,ALBANY WARD 9 ED 7,0,,
,Ballots Cast,,GREEN,Albany,ALBANY WARD 9 ED 7,0,,
,Ballots Cast,,INDEPENDENCE,Albany,ALBANY WARD 9 ED 7,0,,
,Ballots Cast,,WOMEN'S EQUALITY,Albany,ALBANY WARD 9 ED 7,0,,
,Ballots Cast,,REFORM,Albany,ALBANY WARD 9 ED 7,1,,
Cynthia E. Nixon,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,107,,
Andrew M. Cuomo,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,82,,
WRITE-IN,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,11,,
OVER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,1,,
UNDER VOTES,Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,5,,
Kathy C. Hochul,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,91,,
Jumaane Williams,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,94,,
WRITE-IN,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,12,,
OVER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,1,,
UNDER VOTES,Lieutenant Governor,,DEMOCRATIC,Albany,ALBANY WARD 9 ED 7,8,,
