candidate,office,district,party,county,precinct,election_day,absentee,votes
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),71,3,74
Blanks,Governor,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),11,0,11
Voids,Governor,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),41,1,42
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),17,0,17
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),1,0,1
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),108,9,117
Blanks,Attorney General,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),6,0,6
Voids,Attorney General,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Esopus 4 (Rifton FH),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Esopus 4 (Rifton FH),1,0,1
Mike Diederich,Attorney General,,REFORM,Ulster,Esopus 4 (Rifton FH),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,Esopus 4 (Rifton FH),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Esopus 4 (Rifton FH),0,0,0
Voids,Attorney General,,REFORM,Ulster,Esopus 4 (Rifton FH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Esopus 4 (Rifton FH),1,0,1
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),63,2,65
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),52,6,58
Blanks,Governor,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),17,0,17
Voids,Governor,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),19,2,21
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),15,0,15
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),4,1,5
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),83,5,88
Blanks,Attorney General,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),11,0,11
Voids,Attorney General,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Esopus 7 (Union Cntr FH),0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Esopus 7 (Union Cntr FH),0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,Esopus 7 (Union Cntr FH),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,Esopus 7 (Union Cntr FH),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Esopus 7 (Union Cntr FH),0,0,0
Voids,Attorney General,,REFORM,Ulster,Esopus 7 (Union Cntr FH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Esopus 7 (Union Cntr FH),0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",214,18,232
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",189,23,212
Blanks,Governor,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",4,2,6
Voids,Governor,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",1,0,1
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",73,8,81
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",29,5,34
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",5,3,8
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",295,26,321
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",5,1,6
Voids,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",1,0,1
Pramilla Malick,State Senate,42,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",52,3,55
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",339,37,376
Blanks,State Senate,42,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",16,3,19
Voids,State Senate,42,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",0,0,0
Write-ins,State Senate,42,DEMOCRATIC,Ulster,"Gardiner 1,3 (Gardiner FH)",1,0,1
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Gardiner 1,3 (Gardiner FH)",4,0,4
Mike Diederich,Attorney General,,REFORM,Ulster,"Gardiner 1,3 (Gardiner FH)",0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Gardiner 1,3 (Gardiner FH)",3,0,3
Blanks,Attorney General,,REFORM,Ulster,"Gardiner 1,3 (Gardiner FH)",8,1,9
Voids,Attorney General,,REFORM,Ulster,"Gardiner 1,3 (Gardiner FH)",0,5,5
Write-ins,Attorney General,,REFORM,Ulster,"Gardiner 1,3 (Gardiner FH)",13,0,13
Ann G Rabbitt,State Senate,42,REFORM,Ulster,"Gardiner 1,3 (Gardiner FH)",7,0,7
Blanks,State Senate,42,REFORM,Ulster,"Gardiner 1,3 (Gardiner FH)",4,0,4
Voids,State Senate,42,REFORM,Ulster,"Gardiner 1,3 (Gardiner FH)",0,5,5
Write-ins,State Senate,42,REFORM,Ulster,"Gardiner 1,3 (Gardiner FH)",17,0,17
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",131,8,139
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",133,16,149
Blanks,Governor,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",7,0,7
Voids,Governor,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",55,7,62
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",23,4,27
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",2,2,4
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",190,11,201
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",1,0,1
Voids,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",0,0,0
Pramilla Malick,State Senate,42,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",23,2,25
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",236,22,258
Blanks,State Senate,42,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",12,0,12
Voids,State Senate,42,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",0,0,0
Write-ins,State Senate,42,DEMOCRATIC,Ulster,"Gardiner 2,4 (Gardiner TH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Gardiner 2,4 (Gardiner TH)",1,0,1
Mike Diederich,Attorney General,,REFORM,Ulster,"Gardiner 2,4 (Gardiner TH)",2,0,2
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Gardiner 2,4 (Gardiner TH)",3,0,3
Blanks,Attorney General,,REFORM,Ulster,"Gardiner 2,4 (Gardiner TH)",1,1,2
Voids,Attorney General,,REFORM,Ulster,"Gardiner 2,4 (Gardiner TH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Gardiner 2,4 (Gardiner TH)",8,0,8
Ann G Rabbitt,State Senate,42,REFORM,Ulster,"Gardiner 2,4 (Gardiner TH)",7,1,8
Blanks,State Senate,42,REFORM,Ulster,"Gardiner 2,4 (Gardiner TH)",1,0,1
Voids,State Senate,42,REFORM,Ulster,"Gardiner 2,4 (Gardiner TH)",0,0,0
Write-ins,State Senate,42,REFORM,Ulster,"Gardiner 2,4 (Gardiner TH)",7,0,7
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",3,0,3
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",4,6,10
Blanks,Governor,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",1,0,1
Voids,Governor,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",1,0,1
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",2,1,3
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",5,5,10
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Voids,Attorney General,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Blanks,Attorney General,,REFORM,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Hardenburgh 1,2 (Hardenburgh TH)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",232,31,263
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",227,30,257
Blanks,Governor,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",5,2,7
Voids,Governor,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",93,14,107
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",53,4,57
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",4,1,5
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",305,42,347
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",8,0,8
Voids,Attorney General,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",1,2,3
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",1,0,1
Mike Diederich,Attorney General,,REFORM,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",1,1,2
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",0,0,0
Blanks,Attorney General,,REFORM,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Hurley 1,3,5,7 (West Hurley FH)",1,0,1
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",149,9,158
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",138,11,149
Blanks,Governor,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",3,0,3
Voids,Governor,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",86,5,91
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",30,2,32
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",4,0,4
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",165,13,178
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",3,0,3
Voids,Attorney General,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",2,0,2
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Hurley 2,4,6,8 (Hurley TH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Hurley 2,4,6,8 (Hurley TH)",3,0,3
Mike Diederich,Attorney General,,REFORM,Ulster,"Hurley 2,4,6,8 (Hurley TH)",2,0,2
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Hurley 2,4,6,8 (Hurley TH)",1,0,1
Blanks,Attorney General,,REFORM,Ulster,"Hurley 2,4,6,8 (Hurley TH)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Hurley 2,4,6,8 (Hurley TH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Hurley 2,4,6,8 (Hurley TH)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",32,1,33
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",32,5,37
Blanks,Governor,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",1,0,1
Voids,Governor,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",0,1,1
Write-ins,Governor,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",20,2,22
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",7,1,8
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",3,0,3
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",35,2,37
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",0,2,2
Voids,Attorney General,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Kingston, Town 1 (Kingston TH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Kingston, Town 1 (Kingston TH)",0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,"Kingston, Town 1 (Kingston TH)",0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Kingston, Town 1 (Kingston TH)",2,0,2
Blanks,Attorney General,,REFORM,Ulster,"Kingston, Town 1 (Kingston TH)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Kingston, Town 1 (Kingston TH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Kingston, Town 1 (Kingston TH)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",103,4,107
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",122,2,124
Blanks,Governor,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",0,0,0
Voids,Governor,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",1,0,1
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",63,2,65
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",30,1,31
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",1,0,1
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",129,2,131
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",3,1,4
Voids,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",0,0,0
Jonathan G Jacobson,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",38,1,39
Ralph S Coates,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",16,1,17
Alexander Reed Kelly,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",21,1,22
Kevindaryan Lujan,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",52,1,53
Jodi McCredo,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",61,0,61
Blanks,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",37,2,39
Voids,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",0,0,0
Write-ins,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 1,7 (Highland HS)",1,0,1
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Lloyd 1,7 (Highland HS)",1,0,1
Mike Diederich,Attorney General,,REFORM,Ulster,"Lloyd 1,7 (Highland HS)",1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Lloyd 1,7 (Highland HS)",0,0,0
Blanks,Attorney General,,REFORM,Ulster,"Lloyd 1,7 (Highland HS)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Lloyd 1,7 (Highland HS)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Lloyd 1,7 (Highland HS)",1,0,1
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",94,4,98
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",143,22,165
Blanks,Governor,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",2,0,2
Voids,Governor,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",74,9,83
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",37,3,40
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",4,0,4
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",121,13,134
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",3,0,3
Voids,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",0,1,1
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",0,0,0
Jonathan G Jacobson,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",45,11,56
Ralph S Coates,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",27,0,27
Alexander Reed Kelly,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",17,1,18
Kevindaryan Lujan,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",56,7,63
Jodi McCredo,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",70,5,75
Blanks,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",23,1,24
Voids,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",0,1,1
Write-ins,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 2,3,4 (Highland FH)",1,0,1
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Lloyd 2,3,4 (Highland FH)",1,2,3
Mike Diederich,Attorney General,,REFORM,Ulster,"Lloyd 2,3,4 (Highland FH)",1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Lloyd 2,3,4 (Highland FH)",0,2,2
Blanks,Attorney General,,REFORM,Ulster,"Lloyd 2,3,4 (Highland FH)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Lloyd 2,3,4 (Highland FH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Lloyd 2,3,4 (Highland FH)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",67,3,70
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",133,14,147
Blanks,Governor,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",3,0,3
Voids,Governor,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",76,4,80
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",40,6,46
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",6,2,8
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",79,5,84
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",2,0,2
Voids,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",0,0,0
Jonathan G Jacobson,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",57,6,63
Ralph S Coates,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",24,1,25
Alexander Reed Kelly,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",17,1,18
Kevindaryan Lujan,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",31,0,31
Jodi McCredo,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",56,4,60
Blanks,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",17,5,22
Voids,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",0,0,0
Write-ins,State Assembly,104,DEMOCRATIC,Ulster,"Lloyd 5,6 (Lloyd TH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Lloyd 5,6 (Lloyd TH)",1,2,3
Mike Diederich,Attorney General,,REFORM,Ulster,"Lloyd 5,6 (Lloyd TH)",1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Lloyd 5,6 (Lloyd TH)",0,0,0
Blanks,Attorney General,,REFORM,Ulster,"Lloyd 5,6 (Lloyd TH)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Lloyd 5,6 (Lloyd TH)",0,1,1
Write-ins,Attorney General,,REFORM,Ulster,"Lloyd 5,6 (Lloyd TH)",0,0,0
Cynthia E. Nixon,Governor,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",138,17,155
Andrew M. Cuomo,Governor,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",144,10,154
Blanks,Governor,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",4,1,5
Voids,Governor,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",0,0,0
Write-ins,Governor,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",48,4,52
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",25,1,26
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",3,1,4
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",207,21,228
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",3,0,3
Voids,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",0,1,1
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 1,7 (High Falls FH)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Marbletown 1,7 (High Falls FH)",1,0,1
Mike Diederich,Attorney General,,REFORM,Ulster,"Marbletown 1,7 (High Falls FH)",3,0,3
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Marbletown 1,7 (High Falls FH)",0,0,0
Blanks,Attorney General,,REFORM,Ulster,"Marbletown 1,7 (High Falls FH)",0,0,0
Voids,Attorney General,,REFORM,Ulster,"Marbletown 1,7 (High Falls FH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Marbletown 1,7 (High Falls FH)",3,0,3
