county,precinct,office,district,candidate,party,votes,updated
Madison,Town of Nelson 1,President,,Donald J. Trump/Michael R. Pence,CON,34,
Madison,Town of Nelson 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,20,
Madison,Town of Nelson 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,4,
Madison,Town of Nelson 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,12,
Madison,Town of Nelson 1,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Nelson 1,President,,Write-ins,,0,
Madison,Town of Nelson 1,President,,Voids,,1,
Madison,Town of Nelson 1,President,,Blanks,,2,
Madison,Town of Nelson 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,238,
Madison,Town of Nelson 2,President,,Donald J. Trump/Michael R. Pence,REP,275,
Madison,Town of Nelson 2,President,,Donald J. Trump/Michael R. Pence,CON,21,
Madison,Town of Nelson 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,18,
Madison,Town of Nelson 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,3,
Madison,Town of Nelson 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,8,
Madison,Town of Nelson 2,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Nelson 2,President,,Write-ins,,0,
Madison,Town of Nelson 2,President,,Voids,,0,
Madison,Town of Nelson 2,President,,Blanks,,3,
Madison,Town of Smithfield 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,156,
Madison,Town of Smithfield 1,President,,Donald J. Trump/Michael R. Pence,REP,336,
Madison,Town of Smithfield 1,President,,Donald J. Trump/Michael R. Pence,CON,36,
Madison,Town of Smithfield 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,6,
Madison,Town of Smithfield 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,7,
Madison,Town of Smithfield 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,9,
Madison,Town of Smithfield 1,President,,Brock Pierce/Karla Ballard,IND,5,
Madison,Town of Smithfield 1,President,,Write-ins,,0,
Madison,Town of Smithfield 1,President,,Voids,,0,
Madison,Town of Smithfield 1,President,,Blanks,,1,
Madison,Town of Stockbridge 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,121,
Madison,Town of Stockbridge 1,President,,Donald J. Trump/Michael R. Pence,REP,272,
Madison,Town of Stockbridge 1,President,,Donald J. Trump/Michael R. Pence,CON,17,
Madison,Town of Stockbridge 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,3,
Madison,Town of Stockbridge 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Stockbridge 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,7,
Madison,Town of Stockbridge 1,President,,Brock Pierce/Karla Ballard,IND,3,
Madison,Town of Stockbridge 1,President,,Write-ins,,0,
Madison,Town of Stockbridge 1,President,,Voids,,1,
Madison,Town of Stockbridge 1,President,,Blanks,,3,
Madison,Town of Stockbridge 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,134,
Madison,Town of Stockbridge 2,President,,Donald J. Trump/Michael R. Pence,REP,343,
Madison,Town of Stockbridge 2,President,,Donald J. Trump/Michael R. Pence,CON,21,
Madison,Town of Stockbridge 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,7,
Madison,Town of Stockbridge 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,4,
Madison,Town of Stockbridge 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,8,
Madison,Town of Stockbridge 2,President,,Brock Pierce/Karla Ballard,IND,3,
Madison,Town of Stockbridge 2,President,,Write-ins,,0,
Madison,Town of Stockbridge 2,President,,Voids,,1,
Madison,Town of Stockbridge 2,President,,Blanks,,2,
Madison,Town of Sullivan 1,President,,Joseph R. Biden/Kamala D. Harris,DEM,585,
Madison,Town of Sullivan 1,President,,Donald J. Trump/Michael R. Pence,REP,572,
Madison,Town of Sullivan 1,President,,Donald J. Trump/Michael R. Pence,CON,59,
Madison,Town of Sullivan 1,President,,Joseph R. Biden/Kamala D. Harris,WOR,22,
Madison,Town of Sullivan 1,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Sullivan 1,President,,Jo Jorgensen/Jeremy Cohen,LBT,17,
Madison,Town of Sullivan 1,President,,Brock Pierce/Karla Ballard,IND,5,
Madison,Town of Sullivan 1,President,,Write-ins,,0,
Madison,Town of Sullivan 1,President,,Voids,,4,
Madison,Town of Sullivan 1,President,,Blanks,,13,
Madison,Town of Sullivan 2,President,,Joseph R. Biden/Kamala D. Harris,DEM,369,
Madison,Town of Sullivan 2,President,,Donald J. Trump/Michael R. Pence,REP,484,
Madison,Town of Sullivan 2,President,,Donald J. Trump/Michael R. Pence,CON,42,
Madison,Town of Sullivan 2,President,,Joseph R. Biden/Kamala D. Harris,WOR,16,
Madison,Town of Sullivan 2,President,,Howie Hawkins/Angela Nicole Walker,GRE,4,
Madison,Town of Sullivan 2,President,,Jo Jorgensen/Jeremy Cohen,LBT,21,
Madison,Town of Sullivan 2,President,,Brock Pierce/Karla Ballard,IND,2,
Madison,Town of Sullivan 2,President,,Write-ins,,0,
Madison,Town of Sullivan 2,President,,Voids,,6,
Madison,Town of Sullivan 2,President,,Blanks,,4,
Madison,Town of Sullivan 3,President,,Joseph R. Biden/Kamala D. Harris,DEM,285,
Madison,Town of Sullivan 3,President,,Donald J. Trump/Michael R. Pence,REP,392,
Madison,Town of Sullivan 3,President,,Donald J. Trump/Michael R. Pence,CON,37,
Madison,Town of Sullivan 3,President,,Joseph R. Biden/Kamala D. Harris,WOR,17,
Madison,Town of Sullivan 3,President,,Howie Hawkins/Angela Nicole Walker,GRE,5,
Madison,Town of Sullivan 3,President,,Jo Jorgensen/Jeremy Cohen,LBT,3,
Madison,Town of Sullivan 3,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Sullivan 3,President,,Write-ins,,0,
Madison,Town of Sullivan 3,President,,Voids,,3,
Madison,Town of Sullivan 3,President,,Blanks,,2,
Madison,Town of Sullivan 4,President,,Joseph R. Biden/Kamala D. Harris,DEM,158,
Madison,Town of Sullivan 4,President,,Donald J. Trump/Michael R. Pence,REP,210,
Madison,Town of Sullivan 4,President,,Donald J. Trump/Michael R. Pence,CON,20,
Madison,Town of Sullivan 4,President,,Joseph R. Biden/Kamala D. Harris,WOR,4,
Madison,Town of Sullivan 4,President,,Howie Hawkins/Angela Nicole Walker,GRE,1,
Madison,Town of Sullivan 4,President,,Jo Jorgensen/Jeremy Cohen,LBT,2,
Madison,Town of Sullivan 4,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Sullivan 4,President,,Write-ins,,0,
Madison,Town of Sullivan 4,President,,Voids,,0,
Madison,Town of Sullivan 4,President,,Blanks,,1,
Madison,Town of Sullivan 5,President,,Joseph R. Biden/Kamala D. Harris,DEM,362,
Madison,Town of Sullivan 5,President,,Donald J. Trump/Michael R. Pence,REP,464,
Madison,Town of Sullivan 5,President,,Donald J. Trump/Michael R. Pence,CON,49,
Madison,Town of Sullivan 5,President,,Joseph R. Biden/Kamala D. Harris,WOR,21,
Madison,Town of Sullivan 5,President,,Howie Hawkins/Angela Nicole Walker,GRE,8,
Madison,Town of Sullivan 5,President,,Jo Jorgensen/Jeremy Cohen,LBT,11,
Madison,Town of Sullivan 5,President,,Brock Pierce/Karla Ballard,IND,2,
Madison,Town of Sullivan 5,President,,Write-ins,,0,
Madison,Town of Sullivan 5,President,,Voids,,0,
Madison,Town of Sullivan 5,President,,Blanks,,0,
Madison,Town of Sullivan 6,President,,Joseph R. Biden/Kamala D. Harris,DEM,357,
Madison,Town of Sullivan 6,President,,Donald J. Trump/Michael R. Pence,REP,359,
Madison,Town of Sullivan 6,President,,Donald J. Trump/Michael R. Pence,CON,31,
Madison,Town of Sullivan 6,President,,Joseph R. Biden/Kamala D. Harris,WOR,14,
Madison,Town of Sullivan 6,President,,Howie Hawkins/Angela Nicole Walker,GRE,6,
Madison,Town of Sullivan 6,President,,Jo Jorgensen/Jeremy Cohen,LBT,13,
Madison,Town of Sullivan 6,President,,Brock Pierce/Karla Ballard,IND,2,
Madison,Town of Sullivan 6,President,,Write-ins,,2,
Madison,Town of Sullivan 6,President,,Voids,,5,
Madison,Town of Sullivan 6,President,,Blanks,,3,
Madison,Town of Sullivan 7,President,,Joseph R. Biden/Kamala D. Harris,DEM,263,
Madison,Town of Sullivan 7,President,,Donald J. Trump/Michael R. Pence,REP,424,
Madison,Town of Sullivan 7,President,,Donald J. Trump/Michael R. Pence,CON,39,
Madison,Town of Sullivan 7,President,,Joseph R. Biden/Kamala D. Harris,WOR,8,
Madison,Town of Sullivan 7,President,,Howie Hawkins/Angela Nicole Walker,GRE,1,
Madison,Town of Sullivan 7,President,,Jo Jorgensen/Jeremy Cohen,LBT,7,
Madison,Town of Sullivan 7,President,,Brock Pierce/Karla Ballard,IND,5,
Madison,Town of Sullivan 7,President,,Write-ins,,0,
Madison,Town of Sullivan 7,President,,Voids,,3,
Madison,Town of Sullivan 7,President,,Blanks,,2,
Madison,Town of Sullivan 8,President,,Joseph R. Biden/Kamala D. Harris,DEM,246,
Madison,Town of Sullivan 8,President,,Donald J. Trump/Michael R. Pence,REP,229,
Madison,Town of Sullivan 8,President,,Donald J. Trump/Michael R. Pence,CON,26,
Madison,Town of Sullivan 8,President,,Joseph R. Biden/Kamala D. Harris,WOR,11,
Madison,Town of Sullivan 8,President,,Howie Hawkins/Angela Nicole Walker,GRE,4,
Madison,Town of Sullivan 8,President,,Jo Jorgensen/Jeremy Cohen,LBT,7,
Madison,Town of Sullivan 8,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Sullivan 8,President,,Write-ins,,0,
Madison,Town of Sullivan 8,President,,Voids,,0,
Madison,Town of Sullivan 8,President,,Blanks,,0,
Madison,Town of Sullivan 9,President,,Joseph R. Biden/Kamala D. Harris,DEM,205,
Madison,Town of Sullivan 9,President,,Donald J. Trump/Michael R. Pence,REP,339,
Madison,Town of Sullivan 9,President,,Donald J. Trump/Michael R. Pence,CON,42,
Madison,Town of Sullivan 9,President,,Joseph R. Biden/Kamala D. Harris,WOR,12,
Madison,Town of Sullivan 9,President,,Howie Hawkins/Angela Nicole Walker,GRE,3,
Madison,Town of Sullivan 9,President,,Jo Jorgensen/Jeremy Cohen,LBT,6,
Madison,Town of Sullivan 9,President,,Brock Pierce/Karla Ballard,IND,0,
Madison,Town of Sullivan 9,President,,Write-ins,,1,
Madison,Town of Sullivan 9,President,,Voids,,1,
Madison,Town of Sullivan 9,President,,Blanks,,3,
Madison,Town of Sullivan 10,President,,Joseph R. Biden/Kamala D. Harris,DEM,282,
Madison,Town of Sullivan 10,President,,Donald J. Trump/Michael R. Pence,REP,267,
Madison,Town of Sullivan 10,President,,Donald J. Trump/Michael R. Pence,CON,32,
Madison,Town of Sullivan 10,President,,Joseph R. Biden/Kamala D. Harris,WOR,16,
Madison,Town of Sullivan 10,President,,Howie Hawkins/Angela Nicole Walker,GRE,3,
Madison,Town of Sullivan 10,President,,Jo Jorgensen/Jeremy Cohen,LBT,19,
Madison,Town of Sullivan 10,President,,Brock Pierce/Karla Ballard,IND,4,
Madison,Town of Sullivan 10,President,,Write-ins,,0,
Madison,Town of Sullivan 10,President,,Voids,,1,
Madison,Town of Sullivan 10,President,,Blanks,,2,
Madison,Town of Sullivan 11,President,,Joseph R. Biden/Kamala D. Harris,DEM,239,
Madison,Town of Sullivan 11,President,,Donald J. Trump/Michael R. Pence,REP,320,
Madison,Town of Sullivan 11,President,,Donald J. Trump/Michael R. Pence,CON,43,
Madison,Town of Sullivan 11,President,,Joseph R. Biden/Kamala D. Harris,WOR,6,
Madison,Town of Sullivan 11,President,,Howie Hawkins/Angela Nicole Walker,GRE,2,
Madison,Town of Sullivan 11,President,,Jo Jorgensen/Jeremy Cohen,LBT,8,
Madison,Town of Sullivan 11,President,,Brock Pierce/Karla Ballard,IND,1,
Madison,Town of Sullivan 11,President,,Write-ins,,0,
Madison,Town of Sullivan 11,President,,Voids,,1,
Madison,Town of Sullivan 11,President,,Blanks,,0,
Madison,City of Oneida Ward 1,State Senate,53,Rachel May,DEM,371,
Madison,City of Oneida Ward 1,State Senate,53,Sam Rodgers,REP,495,
Madison,City of Oneida Ward 1,State Senate,53,Sam Rodgers,CON,50,
Madison,City of Oneida Ward 1,State Senate,53,Rachel May,WOR,33,
Madison,City of Oneida Ward 1,State Senate,53,Russell S. Penner,LBT,15,
Madison,City of Oneida Ward 1,State Senate,53,Sam Rodgers,IND,27,
Madison,City of Oneida Ward 1,State Senate,53,Sam Rodgers,SAM,1,
Madison,City of Oneida Ward 1,State Senate,53,Write-ins,,1,
Madison,City of Oneida Ward 1,State Senate,53,Voids,,0,
Madison,City of Oneida Ward 1,State Senate,53,Blanks,,49,
Madison,City of Oneida Ward 2,State Senate,53,Rachel May,DEM,321,
Madison,City of Oneida Ward 2,State Senate,53,Sam Rodgers,REP,462,
Madison,City of Oneida Ward 2,State Senate,53,Sam Rodgers,CON,39,
Madison,City of Oneida Ward 2,State Senate,53,Rachel May,WOR,30,
Madison,City of Oneida Ward 2,State Senate,53,Russell S. Penner,LBT,11,
Madison,City of Oneida Ward 2,State Senate,53,Sam Rodgers,IND,24,
Madison,City of Oneida Ward 2,State Senate,53,Sam Rodgers,SAM,3,
Madison,City of Oneida Ward 2,State Senate,53,Write-ins,,1,
Madison,City of Oneida Ward 2,State Senate,53,Voids,,0,
Madison,City of Oneida Ward 2,State Senate,53,Blanks,,45,
Madison,City of Oneida Ward 3,State Senate,53,Rachel May,DEM,375,
Madison,City of Oneida Ward 3,State Senate,53,Sam Rodgers,REP,484,
Madison,City of Oneida Ward 3,State Senate,53,Sam Rodgers,CON,50,
Madison,City of Oneida Ward 3,State Senate,53,Rachel May,WOR,31,
Madison,City of Oneida Ward 3,State Senate,53,Russell S. Penner,LBT,6,
Madison,City of Oneida Ward 3,State Senate,53,Sam Rodgers,IND,27,
Madison,City of Oneida Ward 3,State Senate,53,Sam Rodgers,SAM,0,
Madison,City of Oneida Ward 3,State Senate,53,Write-ins,,0,
Madison,City of Oneida Ward 3,State Senate,53,Voids,,0,
Madison,City of Oneida Ward 3,State Senate,53,Blanks,,29,
Madison,City of Oneida Ward 4,State Senate,53,Rachel May,DEM,158,
Madison,City of Oneida Ward 4,State Senate,53,Sam Rodgers,REP,230,
Madison,City of Oneida Ward 4,State Senate,53,Sam Rodgers,CON,19,
Madison,City of Oneida Ward 4,State Senate,53,Rachel May,WOR,19,
Madison,City of Oneida Ward 4,State Senate,53,Russell S. Penner,LBT,3,
Madison,City of Oneida Ward 4,State Senate,53,Sam Rodgers,IND,10,
Madison,City of Oneida Ward 4,State Senate,53,Sam Rodgers,SAM,0,
Madison,City of Oneida Ward 4,State Senate,53,Write-ins,,0,
Madison,City of Oneida Ward 4,State Senate,53,Voids,,0,
Madison,City of Oneida Ward 4,State Senate,53,Blanks,,19,
Madison,City of Oneida Ward 5,State Senate,53,Rachel May,DEM,194,
Madison,City of Oneida Ward 5,State Senate,53,Sam Rodgers,REP,278,
Madison,City of Oneida Ward 5,State Senate,53,Sam Rodgers,CON,26,
Madison,City of Oneida Ward 5,State Senate,53,Rachel May,WOR,21,
Madison,City of Oneida Ward 5,State Senate,53,Russell S. Penner,LBT,7,
Madison,City of Oneida Ward 5,State Senate,53,Sam Rodgers,IND,9,
Madison,City of Oneida Ward 5,State Senate,53,Sam Rodgers,SAM,0,
Madison,City of Oneida Ward 5,State Senate,53,Write-ins,,0,
Madison,City of Oneida Ward 5,State Senate,53,Voids,,0,
Madison,City of Oneida Ward 5,State Senate,53,Blanks,,39,
Madison,City of Oneida Ward 6,State Senate,53,Rachel May,DEM,211,
Madison,City of Oneida Ward 6,State Senate,53,Sam Rodgers,REP,357,
Madison,City of Oneida Ward 6,State Senate,53,Sam Rodgers,CON,43,
Madison,City of Oneida Ward 6,State Senate,53,Rachel May,WOR,21,
Madison,City of Oneida Ward 6,State Senate,53,Russell S. Penner,LBT,10,
Madison,City of Oneida Ward 6,State Senate,53,Sam Rodgers,IND,27,
Madison,City of Oneida Ward 6,State Senate,53,Sam Rodgers,SAM,1,
Madison,City of Oneida Ward 6,State Senate,53,Write-ins,,0,
Madison,City of Oneida Ward 6,State Senate,53,Voids,,0,
Madison,City of Oneida Ward 6,State Senate,53,Blanks,,31,
Madison,Town of Brookfield 1,State Senate,53,Rachel May,DEM,77,
Madison,Town of Brookfield 1,State Senate,53,Sam Rodgers,REP,179,
Madison,Town of Brookfield 1,State Senate,53,Sam Rodgers,CON,26,
Madison,Town of Brookfield 1,State Senate,53,Rachel May,WOR,9,
Madison,Town of Brookfield 1,State Senate,53,Russell S. Penner,LBT,3,
Madison,Town of Brookfield 1,State Senate,53,Sam Rodgers,IND,1,
Madison,Town of Brookfield 1,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Brookfield 1,State Senate,53,Write-ins,,0,
Madison,Town of Brookfield 1,State Senate,53,Voids,,0,
Madison,Town of Brookfield 1,State Senate,53,Blanks,,26,
Madison,Town of Brookfield 2,State Senate,53,Rachel May,DEM,118,
Madison,Town of Brookfield 2,State Senate,53,Sam Rodgers,REP,264,
Madison,Town of Brookfield 2,State Senate,53,Sam Rodgers,CON,18,
Madison,Town of Brookfield 2,State Senate,53,Rachel May,WOR,13,
Madison,Town of Brookfield 2,State Senate,53,Russell S. Penner,LBT,6,
Madison,Town of Brookfield 2,State Senate,53,Sam Rodgers,IND,12,
Madison,Town of Brookfield 2,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Brookfield 2,State Senate,53,Write-ins,,0,
Madison,Town of Brookfield 2,State Senate,53,Voids,,0,
Madison,Town of Brookfield 2,State Senate,53,Blanks,,56,
Madison,Town of Brookfield 3,State Senate,53,Rachel May,DEM,82,
Madison,Town of Brookfield 3,State Senate,53,Sam Rodgers,REP,191,
Madison,Town of Brookfield 3,State Senate,53,Sam Rodgers,CON,31,
Madison,Town of Brookfield 3,State Senate,53,Rachel May,WOR,8,
Madison,Town of Brookfield 3,State Senate,53,Russell S. Penner,LBT,6,
Madison,Town of Brookfield 3,State Senate,53,Sam Rodgers,IND,7,
Madison,Town of Brookfield 3,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Brookfield 3,State Senate,53,Write-ins,,0,
Madison,Town of Brookfield 3,State Senate,53,Voids,,0,
Madison,Town of Brookfield 3,State Senate,53,Blanks,,14,
Madison,Town of Cazenovia 1,State Senate,53,Rachel May,DEM,195,
Madison,Town of Cazenovia 1,State Senate,53,Sam Rodgers,REP,302,
Madison,Town of Cazenovia 1,State Senate,53,Sam Rodgers,CON,30,
Madison,Town of Cazenovia 1,State Senate,53,Rachel May,WOR,26,
Madison,Town of Cazenovia 1,State Senate,53,Russell S. Penner,LBT,9,
Madison,Town of Cazenovia 1,State Senate,53,Sam Rodgers,IND,15,
Madison,Town of Cazenovia 1,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Cazenovia 1,State Senate,53,Write-ins,,0,
Madison,Town of Cazenovia 1,State Senate,53,Voids,,0,
Madison,Town of Cazenovia 1,State Senate,53,Blanks,,25,
Madison,Town of Cazenovia 2,State Senate,53,Rachel May,DEM,293,
Madison,Town of Cazenovia 2,State Senate,53,Sam Rodgers,REP,240,
Madison,Town of Cazenovia 2,State Senate,53,Sam Rodgers,CON,20,
Madison,Town of Cazenovia 2,State Senate,53,Rachel May,WOR,18,
Madison,Town of Cazenovia 2,State Senate,53,Russell S. Penner,LBT,6,
Madison,Town of Cazenovia 2,State Senate,53,Sam Rodgers,IND,7,
Madison,Town of Cazenovia 2,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Cazenovia 2,State Senate,53,Write-ins,,0,
Madison,Town of Cazenovia 2,State Senate,53,Voids,,0,
Madison,Town of Cazenovia 2,State Senate,53,Blanks,,15,
Madison,Town of Cazenovia 3,State Senate,53,Rachel May,DEM,368,
Madison,Town of Cazenovia 3,State Senate,53,Sam Rodgers,REP,208,
Madison,Town of Cazenovia 3,State Senate,53,Sam Rodgers,CON,19,
Madison,Town of Cazenovia 3,State Senate,53,Rachel May,WOR,28,
Madison,Town of Cazenovia 3,State Senate,53,Russell S. Penner,LBT,5,
Madison,Town of Cazenovia 3,State Senate,53,Sam Rodgers,IND,12,
Madison,Town of Cazenovia 3,State Senate,53,Sam Rodgers,SAM,2,
Madison,Town of Cazenovia 3,State Senate,53,Write-ins,,0,
Madison,Town of Cazenovia 3,State Senate,53,Voids,,0,
Madison,Town of Cazenovia 3,State Senate,53,Blanks,,19,
Madison,Town of Cazenovia 4,State Senate,53,Rachel May,DEM,401,
Madison,Town of Cazenovia 4,State Senate,53,Sam Rodgers,REP,339,
Madison,Town of Cazenovia 4,State Senate,53,Sam Rodgers,CON,41,
Madison,Town of Cazenovia 4,State Senate,53,Rachel May,WOR,23,
Madison,Town of Cazenovia 4,State Senate,53,Russell S. Penner,LBT,8,
Madison,Town of Cazenovia 4,State Senate,53,Sam Rodgers,IND,10,
Madison,Town of Cazenovia 4,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Cazenovia 4,State Senate,53,Write-ins,,0,
Madison,Town of Cazenovia 4,State Senate,53,Voids,,0,
Madison,Town of Cazenovia 4,State Senate,53,Blanks,,18,
Madison,Town of Cazenovia 5,State Senate,53,Rachel May,DEM,403,
Madison,Town of Cazenovia 5,State Senate,53,Sam Rodgers,REP,423,
Madison,Town of Cazenovia 5,State Senate,53,Sam Rodgers,CON,39,
Madison,Town of Cazenovia 5,State Senate,53,Rachel May,WOR,19,
Madison,Town of Cazenovia 5,State Senate,53,Russell S. Penner,LBT,5,
Madison,Town of Cazenovia 5,State Senate,53,Sam Rodgers,IND,20,
Madison,Town of Cazenovia 5,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Cazenovia 5,State Senate,53,Write-ins,,0,
Madison,Town of Cazenovia 5,State Senate,53,Voids,,0,
Madison,Town of Cazenovia 5,State Senate,53,Blanks,,24,
Madison,Town of Cazenovia 6,State Senate,53,Rachel May,DEM,304,
Madison,Town of Cazenovia 6,State Senate,53,Sam Rodgers,REP,260,
Madison,Town of Cazenovia 6,State Senate,53,Sam Rodgers,CON,19,
Madison,Town of Cazenovia 6,State Senate,53,Rachel May,WOR,12,
Madison,Town of Cazenovia 6,State Senate,53,Russell S. Penner,LBT,8,
Madison,Town of Cazenovia 6,State Senate,53,Sam Rodgers,IND,13,
Madison,Town of Cazenovia 6,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Cazenovia 6,State Senate,53,Write-ins,,0,
Madison,Town of Cazenovia 6,State Senate,53,Voids,,0,
Madison,Town of Cazenovia 6,State Senate,53,Blanks,,18,
Madison,Town of DeRuyter 1,State Senate,53,Rachel May,DEM,170,
Madison,Town of DeRuyter 1,State Senate,53,Sam Rodgers,REP,460,
Madison,Town of DeRuyter 1,State Senate,53,Sam Rodgers,CON,49,
Madison,Town of DeRuyter 1,State Senate,53,Rachel May,WOR,26,
Madison,Town of DeRuyter 1,State Senate,53,Russell S. Penner,LBT,11,
Madison,Town of DeRuyter 1,State Senate,53,Sam Rodgers,IND,16,
Madison,Town of DeRuyter 1,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of DeRuyter 1,State Senate,53,Write-ins,,0,
Madison,Town of DeRuyter 1,State Senate,53,Voids,,0,
Madison,Town of DeRuyter 1,State Senate,53,Blanks,,42,
Madison,Town of Eaton 1,State Senate,53,Rachel May,DEM,276,
Madison,Town of Eaton 1,State Senate,53,Sam Rodgers,REP,373,
Madison,Town of Eaton 1,State Senate,53,Sam Rodgers,CON,45,
Madison,Town of Eaton 1,State Senate,53,Rachel May,WOR,25,
Madison,Town of Eaton 1,State Senate,53,Russell S. Penner,LBT,9,
Madison,Town of Eaton 1,State Senate,53,Sam Rodgers,IND,18,
Madison,Town of Eaton 1,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Eaton 1,State Senate,53,Write-ins,,0,
Madison,Town of Eaton 1,State Senate,53,Voids,,0,
Madison,Town of Eaton 1,State Senate,53,Blanks,,44,
Madison,Town of Eaton 2,State Senate,53,Rachel May,DEM,246,
Madison,Town of Eaton 2,State Senate,53,Sam Rodgers,REP,437,
Madison,Town of Eaton 2,State Senate,53,Sam Rodgers,CON,44,
Madison,Town of Eaton 2,State Senate,53,Rachel May,WOR,24,
Madison,Town of Eaton 2,State Senate,53,Russell S. Penner,LBT,12,
Madison,Town of Eaton 2,State Senate,53,Sam Rodgers,IND,21,
Madison,Town of Eaton 2,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Eaton 2,State Senate,53,Write-ins,,0,
Madison,Town of Eaton 2,State Senate,53,Voids,,0,
Madison,Town of Eaton 2,State Senate,53,Blanks,,30,
Madison,Town of Fenner 1,State Senate,53,Rachel May,DEM,277,
Madison,Town of Fenner 1,State Senate,53,Sam Rodgers,REP,487,
Madison,Town of Fenner 1,State Senate,53,Sam Rodgers,CON,46,
Madison,Town of Fenner 1,State Senate,53,Rachel May,WOR,20,
Madison,Town of Fenner 1,State Senate,53,Russell S. Penner,LBT,17,
Madison,Town of Fenner 1,State Senate,53,Sam Rodgers,IND,17,
Madison,Town of Fenner 1,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Fenner 1,State Senate,53,Write-ins,,0,
Madison,Town of Fenner 1,State Senate,53,Voids,,0,
Madison,Town of Fenner 1,State Senate,53,Blanks,,53,
Madison,Town of Georgetown 1,State Senate,53,Rachel May,DEM,58,
Madison,Town of Georgetown 1,State Senate,53,Sam Rodgers,REP,224,
Madison,Town of Georgetown 1,State Senate,53,Sam Rodgers,CON,19,
Madison,Town of Georgetown 1,State Senate,53,Rachel May,WOR,12,
Madison,Town of Georgetown 1,State Senate,53,Russell S. Penner,LBT,3,
Madison,Town of Georgetown 1,State Senate,53,Sam Rodgers,IND,4,
Madison,Town of Georgetown 1,State Senate,53,Sam Rodgers,SAM,1,
Madison,Town of Georgetown 1,State Senate,53,Write-ins,,0,
Madison,Town of Georgetown 1,State Senate,53,Voids,,0,
Madison,Town of Georgetown 1,State Senate,53,Blanks,,23,
Madison,Town of Hamilton 1,State Senate,53,Rachel May,DEM,301,
Madison,Town of Hamilton 1,State Senate,53,Sam Rodgers,REP,101,
Madison,Town of Hamilton 1,State Senate,53,Sam Rodgers,CON,12,
Madison,Town of Hamilton 1,State Senate,53,Rachel May,WOR,50,
Madison,Town of Hamilton 1,State Senate,53,Russell S. Penner,LBT,5,
Madison,Town of Hamilton 1,State Senate,53,Sam Rodgers,IND,3,
Madison,Town of Hamilton 1,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Hamilton 1,State Senate,53,Write-ins,,0,
Madison,Town of Hamilton 1,State Senate,53,Voids,,0,
Madison,Town of Hamilton 1,State Senate,53,Blanks,,10,
Madison,Town of Hamilton 2,State Senate,53,Rachel May,DEM,469,
Madison,Town of Hamilton 2,State Senate,53,Sam Rodgers,REP,150,
Madison,Town of Hamilton 2,State Senate,53,Sam Rodgers,CON,14,
Madison,Town of Hamilton 2,State Senate,53,Rachel May,WOR,38,
Madison,Town of Hamilton 2,State Senate,53,Russell S. Penner,LBT,3,
Madison,Town of Hamilton 2,State Senate,53,Sam Rodgers,IND,7,
Madison,Town of Hamilton 2,State Senate,53,Sam Rodgers,SAM,0,
Madison,Town of Hamilton 2,State Senate,53,Write-ins,,0,
Madison,Town of Hamilton 2,State Senate,53,Voids,,0,
Madison,Town of Hamilton 2,State Senate,53,Blanks,,36,
Madison,Town of Hamilton 3,State Senate,53,Rachel May,DEM,108,
Madison,Town of Hamilton 3,State Senate,53,Sam Rodgers,REP,139,
